0,商品ID,书籍名称,书籍链接,价格,好评度,评论数,出版社,店家链接
24,10079668,《微软技术丛书：Windows核心编程（第5版）》(杰夫瑞（Jeffrey Richter），等)【摘要 书评 试读】- 京东图书,//item.jd.com/10079668.html,88,97,3000,清华大学出版社,//mall.jd.com/index-1000004111.html
25,10079739,《世界著名计算机教材精选：数据结构基础（C语言版）（第2版）》([美]霍罗维兹，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10079739.html,45,97,200,清华大学出版社,//mall.jd.com/index-1000004111.html
26,10080294,《Java Web整合开发王者归来（JSP+Servlet+Struts+Hibernate+Spring）（附光盘）》(刘京华，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10080294.html,88.7,94,6900,清华大学出版社,//mall.jd.com/index-1000004111.html
27,10100055,《Fortran95程序设计（附光盘）》(彭国伦)【摘要 书评 试读】- 京东图书,//item.jd.com/10100055.html,47.9,98,2000,中国电力出版社,//mall.jd.com/index-1000005549.html
28,10100530,"《Fortran95/2003程序设计（第3版）》([美]查普曼（Chapman,S.J）)【摘要 书评 试读】- 京东图书",//item.jd.com/10100530.html,71.5,97,1300,中国电力出版社,//mall.jd.com/index-1000005549.html
29,10100538,《Tomcat权威指南（第2版）》(布里泰恩（Jason Brittain），达尔文（Ian F.Darwin），吴豪，刘运成，杨前凤，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10100538.html,47.1,97,2400,中国电力出版社,//mall.jd.com/index-1000005549.html
30,10131799,《Delphi7基础教程》(宋兵，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10131799.html,24.3,94,500,机械工业出版社,//cmpbook.jd.com
31,10255221,《操作系统：精髓与设计原理（原书第6版）》(斯托林斯（William Stallings）)【摘要 书评 试读】- 京东图书,//item.jd.com/10255221.html,53.6,97,1100,机械工业出版社,//cmpbook.jd.com
32,10286243,《深入浅出西门子S7 300PLC（附光盘）》(刘锴，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10286243.html,23.5,96,900,北京航空航天大学出版社,//mall.jd.com/index-1000005516.html
33,10311441,《经典Java EE企业应用实战：基于WebLogic/JBoss的JSF+EJB 3+JPA整合开发（附CD光盘1张）》(李刚)【摘要 书评 试读】- 京东图书,//item.jd.com/10311441.html,62.3,97,18000,电子工业出版社,//phei1982.jd.com
34,10393278,《程序员修炼之道：从小工到专家》([美]亨特（Andrew Hunt），[美]托马斯（Daid Thomas）)【摘要 书评 试读】- 京东图书,//item.jd.com/10393278.html,43.4,98,12000,电子工业出版社,//phei1982.jd.com
35,10393318,《Effective C++：改善程序与设计的55个具体做法（第3版 中文版） 》([美]梅耶（Scott Meyers）)【摘要 书评 试读】- 京东图书,//item.jd.com/10393318.html,49.7,98,11000,电子工业出版社,//phei1982.jd.com
36,10399982,《Struts 2+Hibernate+Spring整合开发技术详解（附光盘）》【摘要 书评 试读】- 京东图书,//item.jd.com/10399982.html,59.1,91,200,清华大学出版社,//mall.jd.com/index-1000004111.html
37,10400653,《Visual C#2010从入门到精通》([英]夏普)【摘要 书评 试读】- 京东图书,//item.jd.com/10400653.html,62.4,96,800,清华大学出版社,//mall.jd.com/index-1000004111.html
38,10401048,《Visual Basic开发实战1200例（第Ⅰ卷）》(孙秀梅，巩建华，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10401048.html,76.8,97,4400,清华大学出版社,//mall.jd.com/index-1000004111.html
39,10401082,《Visual C++开发实战1200例（第Ⅰ卷）》(刘锐宁，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10401082.html,76.8,96,4800,清华大学出版社,//mall.jd.com/index-1000004111.html
40,10401559,《Java开发实战1200例（第1卷）》(李钟尉，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10401559.html,76.8,96,900,清华大学出版社,//mall.jd.com/index-1000004111.html
41,10401561,《软件开发实战1200例：Java Web开发实战1200例（第Ⅰ卷）》(卢瀚，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10401561.html,67.8,96,8100,清华大学出版社,//mall.jd.com/index-1000004111.html
42,10401592,《软件开发实战1200例：C#开发实战1200例（第I卷）》(王小科，王军，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10401592.html,85.3,96,10000,清华大学出版社,//mall.jd.com/index-1000004111.html
43,10484020,《More Effective C++：35个改善编程与设计的有效方法（中文版）》([美]Scott Meyers)【摘要 书评 试读】- 京东图书,//item.jd.com/10484020.html,46.4,99,7700,电子工业出版社,//phei1982.jd.com
44,10490900,《编译原理（英文版·第2版）》(（美）阿霍，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10490900.html,61.3,96,400,机械工业出版社,//cmpbook.jd.com
45,10540566,《Visual Basic串口通信及编程实例（附光盘1张）》(张辉，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10540566.html,31.5,96,500,化学工业出版社,//cip1953.jd.com
46,10603153,《JavaScript DOM编程艺术（第2版） 》([英]Jeremy Keith，[加]Jeffrey Sambells)【摘要 书评 试读】- 京东图书,//item.jd.com/10603153.html,41.7,98,58000,人民邮电出版社,//ptpressjd.jd.com
47,10649573,《数据结构习题解析（第2版）》(殷人昆)【摘要 书评 试读】- 京东图书,//item.jd.com/10649573.html,46.1,98,200,清华大学出版社,//mall.jd.com/index-1000004111.html
48,10661841,"《Lucene实战（第2版）》([美]麦肯德利斯（McCandless,M.），等)【摘要 书评 试读】- 京东图书",//item.jd.com/10661841.html,54.4,94,1100,人民邮电出版社,//ptpressjd.jd.com
49,10663703,《大话数据结构》(程杰)【摘要 书评 试读】- 京东图书,//item.jd.com/10663703.html,53.1,98,13000,清华大学出版社,//mall.jd.com/index-1000004111.html
50,10690653,《用户体验要素：以用户为中心的产品设计（原书第2版） 》([美]Jesse James Garrett)【摘要 书评 试读】- 京东图书,//item.jd.com/10690653.html,30.8,98,17000,机械工业出版社,//cmpbook.jd.com
51,10695602,《Java语言程序设计：进阶篇（原书第8版）》([美]Y.Daniel Liang)【摘要 书评 试读】- 京东图书,//item.jd.com/10695602.html,65.2,96,600,机械工业出版社,//cmpbook.jd.com
52,10701892,《PHP与MySQL程序设计（第4版）》([美]吉尔犘（W.Jason Gilmore）)【摘要 书评 试读】- 京东图书,//item.jd.com/10701892.html,75.7,96,800,人民邮电出版社,//ptpressjd.jd.com
53,10790734,《C++编程思想（两卷合订本）》([美]Bruce Eckel，Chuck Allison)【摘要 书评 试读】- 京东图书,//item.jd.com/10790734.html,91.1,97,2500,机械工业出版社,//cmpbook.jd.com
54,10794350,《深入PHP：面向对象、模式与实践（第3版）》([美]Matt Zandstra)【摘要 书评 试读】- 京东图书,//item.jd.com/10794350.html,58.7,97,2100,人民邮电出版社,//ptpressjd.jd.com
55,10805219,《Python语言在Abaqus中的应用（附CD-ROM光盘1张）》(曹金凤，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10805219.html,45.2,97,3700,机械工业出版社,//cmpbook.jd.com
56,10899957,《深入理解C#（第2版）》([英]Jon Skeet)【摘要 书评 试读】- 京东图书,//item.jd.com/10899957.html,67.2,95,200,人民邮电出版社,//ptpressjd.jd.com
57,10903399,《精通QTP：自动化测试技术领航》(余杰，赵旭斌)【摘要 书评 试读】- 京东图书,//item.jd.com/10903399.html,54.4,94,1500,人民邮电出版社,//ptpressjd.jd.com
58,10909788,《深度探索C++对象模型》([美]Stanley B.Lippman（斯坦利·B.李普曼）)【摘要 书评 试读】- 京东图书,//item.jd.com/10909788.html,54.5,98,3400,电子工业出版社,//phei1982.jd.com
59,10922250,《华章专业开发者丛书·Java并发编程实战 》([美]Brian Goetz，等)【摘要 书评 试读】- 京东图书,//item.jd.com/10922250.html,64.9,98,9300,机械工业出版社,//cmpbook.jd.com
60,10922251,《Spring技术内幕：深入解析Spring架构与设计原理（第2版）》(计文柯)【摘要 书评 试读】- 京东图书,//item.jd.com/10922251.html,64.9,97,10000,机械工业出版社,//cmpbook.jd.com
61,10925862,《C语言学习路线图：C语言经典编程282例》【摘要 书评 试读】- 京东图书,//item.jd.com/10925862.html,42.3,97,600,清华大学出版社,//mall.jd.com/index-1000004111.html
62,10927964,《IDA Pro权威指南（第2版）》([美]Chris Eagle)【摘要 书评 试读】- 京东图书,//item.jd.com/10927964.html,75.7,98,700,人民邮电出版社,//ptpressjd.jd.com
63,10944453,《计算机算法设计与分析（第4版）/“十二五”普通高等教育本科国家级规划教材·高等学校规划教材》(王晓东)【摘要 书评 试读】- 京东图书,//item.jd.com/10944453.html,30,97,1000,电子工业出版社,//phei1982.jd.com
64,10945355,《编程语言实现模式》([美]Terence Parr)【摘要 书评 试读】- 京东图书,//item.jd.com/10945355.html,61.2,98,800,华中科技大学出版社,//hustp.jd.com
65,10951037,《JavaScript高级程序设计（第3版） 》([美]Nicholas C.Zakas)【摘要 书评 试读】- 京东图书,//item.jd.com/10951037.html,84.2,98,58000,人民邮电出版社,//ptpressjd.jd.com
66,10960689,"《图灵程序设计丛书：jQuery实战（第2版）》([美]比伯奥特（Bibeault,B.），[美]卡茨（Katz,Y.）)【摘要 书评 试读】- 京东图书",//item.jd.com/10960689.html,58.7,96,1000,人民邮电出版社,//ptpressjd.jd.com
67,10960694,《JUnit实战（第2版）》([美]塔凯文（Petar Tahchiev Felipe Leme），[美]Vincent Massol Gary Gregory)【摘要 书评 试读】- 京东图书,//item.jd.com/10960694.html,62.4,96,800,人民邮电出版社,//ptpressjd.jd.com
68,10971142,《大象：Thinking in UML（第2版）》(谭云杰)【摘要 书评 试读】- 京东图书,//item.jd.com/10971142.html,54.4,98,2600,中国水利水电出版社,//mall.jd.com/index-1000015165.html
69,10974436,《OReilly精品图书系列：JavaScript权威指南（第6版）》([美]David Flanagan)【摘要 书评 试读】- 京东图书,//item.jd.com/10974436.html,111.2,97,15000,机械工业出版社,//cmpbook.jd.com
70,10988860,《清华大学计算机系列教材：数据结构题集（C语言版）》(严蔚敏，吴伟民，米宁)【摘要 书评 试读】- 京东图书,//item.jd.com/10988860.html,21.4,98,22000,清华大学出版社,//mall.jd.com/index-1000004111.html
71,10988863,《清华大学计算机系列教材：数据结构（C语言版）（附光盘）》(严蔚敏，吴伟民)【摘要 书评 试读】- 京东图书,//item.jd.com/10988863.html,25.8,98,22000,清华大学出版社,//mall.jd.com/index-1000004111.html
72,10996007,《JSP & Servlet学习笔记（第2版）（附DVD-ROM光盘1张）》(林信良)【摘要 书评 试读】- 京东图书,//item.jd.com/10996007.html,46.4,95,400,清华大学出版社,//mall.jd.com/index-1000004111.html
73,11003160,《MATLAB从入门到精通（第2版）》(周建兴，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11003160.html,54.6,98,1000,人民邮电出版社,//ptpressjd.jd.com
74,11009078,《TIA博途软件：STEP7 V11 编程指南（附光盘）》【摘要 书评 试读】- 京东图书,//item.jd.com/11009078.html,62.4,97,2400,机械工业出版社,//cmpbook.jd.com
75,11016776,《Unity 3D游戏开发》(宣雨松)【摘要 书评 试读】- 京东图书,//item.jd.com/11016776.html,50.2,93,1600,人民邮电出版社,//ptpressjd.jd.com
76,11017238,《C++ Primer Plus（第6版 中文版） 》([美]Stephen Prata)【摘要 书评 试读】- 京东图书,//item.jd.com/11017238.html,78.2,97,20000,人民邮电出版社,//ptpressjd.jd.com
77,11019625,《锋利的jQuery（第2版）》(单东林，张晓菲，魏然，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11019625.html,38.7,98,58000,人民邮电出版社,//ptpressjd.jd.com
78,11033370,《PHP+MySQL+Dreamweaver动态网站建设从入门到精通》【摘要 书评 试读】- 京东图书,//item.jd.com/11033370.html,65.7,93,400,机械工业出版社,//cmpbook.jd.com
79,11044070,《JavaScript模式》([美]斯托扬·斯特凡洛夫)【摘要 书评 试读】- 京东图书,//item.jd.com/11044070.html,30.9,97,1600,中国电力出版社,//mall.jd.com/index-1000005549.html
80,11045519,"《分布式计算：原理，算法与系统》([美]克谢姆卡雅尼（Kshemkalyani,A.D.），[美]辛哈（Singhal,M.）)【摘要 书评 试读】- 京东图书",//item.jd.com/11045519.html,62.4,98,200,高等教育出版社,//mall.jd.com/index-1000007002.html
81,11047263,《3D游戏编程大师技巧（套装上下册）（附CD光盘1张）》([美]André LaMothe)【摘要 书评 试读】- 京东图书,//item.jd.com/11047263.html,116.9,97,500,人民邮电出版社,//ptpressjd.jd.com
82,11055500,《VC++深入详解（修订版）(含DVD光盘1张)》(孙鑫)【摘要 书评 试读】- 京东图书,//item.jd.com/11055500.html,78.2,97,1700,电子工业出版社,//phei1982.jd.com
83,11067810,《Go语言编程》(许式伟，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11067810.html,41.7,97,10000,人民邮电出版社,//ptpressjd.jd.com
84,11070361,《精通正则表达式（第3版）》(Jeffrey E.F.Friedl)【摘要 书评 试读】- 京东图书,//item.jd.com/11070361.html,68.9,98,2500,电子工业出版社,//phei1982.jd.com
85,11078093,《软件开发视频大讲堂：Visual Basic从入门到精通（第3版）（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078093.html,55.8,97,4400,清华大学出版社,//mall.jd.com/index-1000004111.html
86,11078100,《软件开发视频大讲堂：Java从入门到精通（实例版）（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078100.html,55.8,96,8000,清华大学出版社,//mall.jd.com/index-1000004111.html
87,11078102,《软件开发视频大讲堂：Java从入门到精通（第3版 附光盘）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078102.html,53.2,97,41000,清华大学出版社,//mall.jd.com/index-1000004111.html
88,11078104,《软件开发视频大讲堂：C语言从入门到精通（实例版）（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078104.html,55.8,97,14000,清华大学出版社,//mall.jd.com/index-1000004111.html
89,11078105,《软件开发视频大讲堂：ASP.NET从入门到精通（第3版 附光盘）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078105.html,79.8,95,4100,清华大学出版社,//mall.jd.com/index-1000004111.html
90,11078109,《软件开发视频大讲堂：JavaScript从入门到精通（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078109.html,55.8,96,2500,清华大学出版社,//mall.jd.com/index-1000004111.html
91,11078111,《软件开发视频大讲堂：Java Web从入门到精通（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078111.html,55.8,96,8000,清华大学出版社,//mall.jd.com/index-1000004111.html
92,11078113,《软件开发视频大讲堂：Visual C++从入门到精通（第3版）（附光盘1张）》【摘要 书评 试读】- 京东图书,//item.jd.com/11078113.html,55.8,96,4800,清华大学出版社,//mall.jd.com/index-1000004111.html
93,11090963,《JavaScript语言精粹（修订版）》(Douglas Crockford（道格拉斯·克罗克福德）)【摘要 书评 试读】- 京东图书,//item.jd.com/11090963.html,23.9,97,7800,电子工业出版社,//phei1982.jd.com
94,11091496,《交互设计沉思录：顶尖设计专家Jon Kolko的经验与心得（原书第2版）》([美]Jon Kolko)【摘要 书评 试读】- 京东图书,//item.jd.com/11091496.html,38.7,97,1200,机械工业出版社,//cmpbook.jd.com
95,11096047,《清华大学计算机系列教材：数据结构（用面向对象方法与C++语言描述）（第2版）》【摘要 书评 试读】- 京东图书,//item.jd.com/11096047.html,41.5,98,600,清华大学出版社,//mall.jd.com/index-1000004111.html
96,11098788,《鲜活的数据：数据可视化指南》([美]Nathan Yau)【摘要 书评 试读】- 京东图书,//item.jd.com/11098788.html,58.7,97,1000,人民邮电出版社,//ptpressjd.jd.com
97,11098789,《算法 第4版 Algorithms Fourth Edition 》([美] Robert Sedgewick，[美]Kevin Wayne)【摘要 书评 试读】- 京东图书,//item.jd.com/11098789.html,84.2,98,28000,人民邮电出版社,//ptpressjd.jd.com
98,11099999,《Java程序性能优化：让你的Java程序更快、更稳定》(葛一鸣，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11099999.html,52.4,96,3300,清华大学出版社,//mall.jd.com/index-1000004111.html
99,11100249,《x86/x64体系探索及编程》(邓志)【摘要 书评 试读】- 京东图书,//item.jd.com/11100249.html,59.5,96,500,电子工业出版社,//phei1982.jd.com
100,11103120,《IDL程序设计：数据可视化与ENVI二次开发（附光盘1张）》(董彦卿)【摘要 书评 试读】- 京东图书,//item.jd.com/11103120.html,67,98,500,高等教育出版社,//mall.jd.com/index-1000007002.html
101,11105100,《Struts 2.x权威指南（第3版）(含DVD光盘1张)》(李刚)【摘要 书评 试读】- 京东图书,//item.jd.com/11105100.html,70.3,96,200,电子工业出版社,//phei1982.jd.com
102,11111050,《算法竞赛入门经典：训练指南》(刘汝佳，陈锋)【摘要 书评 试读】- 京东图书,//item.jd.com/11111050.html,40.8,98,11000,清华大学出版社,//mall.jd.com/index-1000004111.html
103,11113845,《快学Scala》([美]Cay S. Horstmann)【摘要 书评 试读】- 京东图书,//item.jd.com/11113845.html,38.5,98,4800,电子工业出版社,//phei1982.jd.com
104,11121213,《Windows游戏编程大师技巧（第2版）（附CD光盘1张）》([美]André LaMothe)【摘要 书评 试读】- 京东图书,//item.jd.com/11121213.html,85.3,98,300,人民邮电出版社,//ptpressjd.jd.com
105,11123177,《PHP核心技术与最佳实践》(列旭松，陈文)【摘要 书评 试读】- 京东图书,//item.jd.com/11123177.html,70.3,97,1900,机械工业出版社,//cmpbook.jd.com
106,11129425,《并行程序设计导论》([美]帕切克)【摘要 书评 试读】- 京东图书,//item.jd.com/11129425.html,38.7,97,600,机械工业出版社,//cmpbook.jd.com
107,11147263,《编译器设计（第2版）》([美]Keith D. Cooper，[美]Linda Torczon)【摘要 书评 试读】- 京东图书,//item.jd.com/11147263.html,83.2,97,100,人民邮电出版社,//ptpressjd.jd.com
108,11151617,《中国高等院校计算机基础教育课程体系规划教材：C程序设计（第4版）学习辅导》(谭浩强)【摘要 书评 试读】- 京东图书,//item.jd.com/11151617.html,23.1,98,22000,清华大学出版社,//mall.jd.com/index-1000004111.html
109,11151621,《计算机视觉：算法与应用（套装共2册）》([美]塞利斯基（Richard Szeliski）)【摘要 书评 试读】- 京东图书,//item.jd.com/11151621.html,82.7,98,8800,清华大学出版社,//mall.jd.com/index-1000004111.html
110,11163782,《Linux多线程服务端编程 使用muduo C++网络库》(陈硕)【摘要 书评 试读】- 京东图书,//item.jd.com/11163782.html,70.3,97,2200,电子工业出版社,//phei1982.jd.com
111,11168917,《软件开发方法学精选系列：UML用户指南（第2版·修订版）》([美]Grady Booch，James Rumbaugh，Ivar Jacobson)【摘要 书评 试读】- 京东图书,//item.jd.com/11168917.html,46.6,97,200,人民邮电出版社,//ptpressjd.jd.com
112,11182828,《PHP、MySQL和Apache入门经典（第5版）（附CD光盘1张）》([美]Julie C.Meloni)【摘要 书评 试读】- 京东图书,//item.jd.com/11182828.html,54.5,95,400,人民邮电出版社,//ptpressjd.jd.com
113,11185742,《图灵程序设计丛书：征服C指针》([日]前桥和弥)【摘要 书评 试读】- 京东图书,//item.jd.com/11185742.html,41.7,97,700,人民邮电出版社,//ptpressjd.jd.com
114,11186176,《疯狂Ajax讲义：jQuery/Ext JS/Prototype/DWR企业应用前端开发实战（第3版）（附CD光盘1张）》(李刚)【摘要 书评 试读】- 京东图书,//item.jd.com/11186176.html,62.3,97,18000,电子工业出版社,//phei1982.jd.com
115,11187103,《Head First jQuery（中文版）》(Ryan Benedetti，Ronan Cranley)【摘要 书评 试读】- 京东图书,//item.jd.com/11187103.html,63.4,99,7700,中国电力出版社,//mall.jd.com/index-1000005549.html
116,11193885,《编写可维护的JavaScript》([美]Nicholas C. Zakas)【摘要 书评 试读】- 京东图书,//item.jd.com/11193885.html,43.5,97,2400,人民邮电出版社,//ptpressjd.jd.com
117,11213761,《HTML 5与CSS 3权威指南（上册 第2版）》(陆凌牛)【摘要 书评 试读】- 京东图书,//item.jd.com/11213761.html,65.2,93,400,机械工业出版社,//cmpbook.jd.com
118,11216941,《C和C++实务精选：C++ Templates中文版》([美]David Vandevoorde，[德]Nicolai M. Josuttis)【摘要 书评 试读】- 京东图书,//item.jd.com/11216941.html,70.3,98,800,人民邮电出版社,//ptpressjd.jd.com
119,11223115,《新编计算机专业重点课程辅导丛书：新编C语言习题与解析》(李春葆，喻丹丹，曾平，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11223115.html,33.8,99,300,清华大学出版社,//mall.jd.com/index-1000004111.html
120,11224757,《机器学习：实用案例解析》(Drew Conway，John Myles White)【摘要 书评 试读】- 京东图书,//item.jd.com/11224757.html,54.5,98,1000,机械工业出版社,//cmpbook.jd.com
121,11225766,《新编计算机专业重点课程辅导丛书：新编数据结构习题与解析》(李春葆，喻丹丹，曾平，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11225766.html,53.2,98,400,清华大学出版社,//mall.jd.com/index-1000004111.html
122,11231129,《R语言经典实例》(Paul Teetor)【摘要 书评 试读】- 京东图书,//item.jd.com/11231129.html,61.9,98,600,机械工业出版社,//cmpbook.jd.com
123,11231175,《HTML5 Canvas核心技术：图形、动画与游戏开发》([美]David Geary)【摘要 书评 试读】- 京东图书,//item.jd.com/11231175.html,93.2,98,1200,机械工业出版社,//cmpbook.jd.com
124,11232703,《Objective-C基础教程 第2版》([美]Scott Knaster，[美]Waqar Malik，[美]Mark Dalrymple)【摘要 书评 试读】- 京东图书,//item.jd.com/11232703.html,50.2,95,3500,人民邮电出版社,//ptpressjd.jd.com
125,11241613,《AutoCAD VBA&VB.NET开发基础与实例教程（第2版）（附CD光盘1张）》(曾洪飞，卢择临，张帆)【摘要 书评 试读】- 京东图书,//item.jd.com/11241613.html,71.5,98,300,中国电力出版社,//mall.jd.com/index-1000005549.html
126,11241687,《jQuery开发从入门到精通（附光盘）》(袁江)【摘要 书评 试读】- 京东图书,//item.jd.com/11241687.html,63.8,96,16000,清华大学出版社,//mall.jd.com/index-1000004111.html
127,11243704,《华章科技：R语言编程艺术》([美]Norman Matloff)【摘要 书评 试读】- 京东图书,//item.jd.com/11243704.html,64.9,98,1200,机械工业出版社,//cmpbook.jd.com
128,11252778,《深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）》(周志明)【摘要 书评 试读】- 京东图书,//item.jd.com/11252778.html,58.8,98,87000,机械工业出版社,//cmpbook.jd.com
129,11253331,《国家级教学成果奖配套教材：数据结构学习与实验指导（附光盘1张）》(陈越，何钦铭，徐镜春，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11253331.html,26.5,99,200,高等教育出版社,//mall.jd.com/index-1000007002.html
130,11253887,《JavaScript设计模式》([美]Addy Osmani)【摘要 书评 试读】- 京东图书,//item.jd.com/11253887.html,38.7,97,1700,人民邮电出版社,//ptpressjd.jd.com
131,11255420,《C++ GUI Qt 4编程（第2版）》([加拿大]Jasmin Blanchette，[英]Mark Summerfield)【摘要 书评 试读】- 京东图书,//item.jd.com/11255420.html,51.4,96,2400,电子工业出版社,//phei1982.jd.com
